title,summary,url,score,prob,keep,decision,decision_reason,relevance_score,relevance_prob,matched_hard,matched_soft,matched_negative
"[사설] 대통령도 지적한 불법 사금융 폐해, 이젠 끊어 내야",경찰과 금융당국은 불법 추심과 초고금리 대출을 민생경제를 위협하는 중대 범죄로 인식하고 상시 단속 체계를 가동해야 한다.불법 사금융 척결은 단순한 금융정책이 아니다. 사회적 약자를 보호하고 공동체의 최소한의...,https://www.cctoday.co.kr/news/articleView.html?idxno=2229994,2,,0,drop,rule_drop_no_financial_anchor,2,,,금리;대출;금융,
"""30만원 빌려주고 50만원 상품권으로"" 고금리 대부 30대 구속",이번 사건은 불법 사금융이 현금 대출 형태를 넘어 모바일 상품권과 온라인 거래로 위장해 확산하고 있음을... 상품권 거래 등으로 포장되는 사례가 잇따르는 만큼 관계기관의 단속과 피해 예방 안내도 필요해 보인다.,https://www.pressian.com/pages/articles/2026051215024241739?utm_source=naver&utm_medium=search,2,,0,drop,rule_drop_no_financial_anchor,2,,,금리;대출;금융,
"[사설] 이자 2655%짜리 불법사금융, 서민은 피가 마른다",그러나 정부 단속을 피하려는 풍선 효과가 문제다. 영악한 불법 대부업자들은 불법 사금융 무대를 텔레그램과 상품권 거래 카페로 옮겼다. 사업 실패로 은행 대출이 막힌 서민은 50만원을 빌려 썼다가 80만원짜리...,https://m.skyedaily.com/news_view.html?ID=303931,16,,1,keep,rule_keep_score_ge_threshold,16,,은행;대부업;불법사금융,대출;금융,
"李대통령, 금융권 장기연체채권 점검 주문 …""공적 역할 고민해야""","이 대통령은 불법 사금융 문제에 대해서도 언급했다. 그는 ""50만원을 빌려주고 9일 만에 80만원을 상품권으로... 또 경찰을 향해 ""언론에는 드러나는데 왜 수사기관에는 보이지 않느냐는 의문이 생기지 않도록 철저히 단속해...",https://www.ziksir.com/news/articleView.html?idxno=133638,2,,0,drop,rule_drop_no_financial_anchor,2,,,연체;채권;금융,
李대통령 “카드사태 때 세금으로 금융기관 도와…혜택 누리고 부담은 ...,불법사금융과 불법 추심 등에 대한 수사기관의 철저한 단속도 주문했다. 이 대통령은 경찰을 향해 “이게 뭔 잔인한 짓이냐”며 “언론의 눈에는 띄는데 왜 수사기관의 눈에는 잘 띄지 않느냐는 의문을 국민들이 갖지...,https://www.etnews.com/20260512000379,10,,1,keep,rule_keep_score_ge_threshold,10,,카드사;불법사금융,금융,
"李대통령 ""원시적 약탈금융, 입법해서라도 해결방안 찾으라""","이 대통령은 불법 사금융 문제에 대해서도 강도 높은 단속을 지시했다. 이 대통령은 ""50만원 대출해 주고 9일 만에 80만원을 상품권으로 받는다는 기사도 있더라""며 ""명백하게 이자제한법 위반이다. 무효인 데다 처벌 대상...",https://daily.hankooki.com/news/articleView.html?idxno=1366109,2,,0,drop,rule_drop_no_financial_anchor,2,,,대출;금융,
"이 대통령 ""20년 넘은 카드 빚 추심은 약탈... 입법으로라도 끊어내야""","압박 불법 사금융 문제에 대해서도 날을 세웠다. 이 대통령은 연간 60% 이상의 고금리를 수취하는 악덕 사채업자들을 질타하며, 수사기관이 청년 등 취약계층의 피해를 방관하지 않도록 철저한 단속을 당부했다. 이에...",https://www.pointe.co.kr/news/articleView.html?idxno=79371,2,,0,drop,rule_drop_no_financial_anchor,2,,,금리;금융,
“원시적 약탈금융” 직격한 李...장기 연체추심 칼 뺐다,이날 회의에서는 불법 사금융 문제도 함께 거론됐다. 이 대통령은 “50만원 대출해주고 9일 만에 80만원을... 여전히 불법 고금리 영업이 이어지고 있다는 점을 강하게 비판했다. 또 경찰을 향해서는 악덕 사채업 단속을...,https://www.ekn.kr/web/view.php?key=20260512022224027,2,,0,drop,rule_drop_no_financial_anchor,2,,,금리;대출;연체;금융,
"李대통령 ""포퓰리즘적 긴축재정론 함정 빠져선 안 돼""","불법 사금융에 대해서도 ""50만원 대출해주고 9일 만에 80만원 상품권으로 받으라는 것은 명백하게 이자제한법... 철저한 단속을 지시했다. 계곡 불법시설 정비와 관련해서는 ""오래 계속됐다는 이유로 잘못이 잘못이 아닌 게...",https://www.newsworks.co.kr/news/articleView.html?idxno=840472,2,,0,drop,rule_drop_no_financial_anchor,2,,,대출;금융,
"李 ""포퓰리즘적 긴축 재정 안돼""… 돈 돌게 해 내수 살린다","됐던 채권을 악착같이, 참 열심히 지금도 추심하고 연간 수십조원씩의 영업이익을 내면서도 몇십억, 몇백억... 매점매석에 대해서는 실효성 있는 제재를 위해 압수 또는 몰수 등 현재 가능한 조치는 최대한 조치할...",http://www.fnnews.com/news/202605121827150102,2,,0,drop,rule_drop_no_financial_anchor,2,,,채권,
